Gene	logFold_proB_preproB
Pcx	-2.2784116666666665
Cers2	0.09282949999999998
Nsa2	-0.17680649999999998
Tom1	0.18414
Pmvk	2.1532463999999996
Nampt	0.3927926455555556
Ube2d3	-0.16606370454347824
Tspan3	-0.69420025
Nmt1	-0.014821
Pde12	0.215689
Ranbp10	-0.501248
Eri1	0.3608491000000001
Cul4a	-0.18855159999999999
Sde2	0.235638
Crtc2	6.8662
Gpx1	0.15080571428571435
Atp13a1	-0.087365
B2m	0.713986
Gpx4	0.4603633333333333
Cacybp	0.16028733333333334
Sh3gl1	-0.389139
Bcl2	-2.7282166666666665
Syf2	-0.319676
Spg7	0.10850800000000001
Cirbp	0.075714
Ccdc114	-0.227306
Ccdc115	-1.34077
Cstf1	-0.6868052366666667
Rabif	0.0776701
Cstf3	-0.0391965
Cstf2	0.5335165714285715
Hspd1	-0.01369299
Akt2	-0.06621696585365856
Lamc1	-0.9829918
Wdr82	-0.040959199999999994
Rnf126	0.0
Uqcrb	0.0879794
Wdr89	-0.01642205
Top3b	0.0
Exosc10	1.738803257142857
Cebpb	-0.315509
Naa15	0.22511550000000002
Naa10	0.8014816666666666
Vps18	-1.090045
Fubp3	-0.32228102770588235
Fubp1	0.02952788679245281
Slu7	-0.030109444444444404
Ezr	-0.308674
Slc25a12	-0.05101691666666668
Sf3a1	-0.0819402
Sap18	-0.731672
Sf3a3	0.265453
Ccar1	0.41853833333333335
Ccar2	0.0490184
Pitpna	-1.0278746666666665
Pitpnb	-0.543194
Ubp1	-0.5833896000000001
Rab27a	-0.6370971428571428
Cog8	-0.3876043333333334
Aven	-0.4489133
Rbm8a	-0.259955
Ptrhd1	-0.748024
Cog3	-0.06112493833333333
Cog2	1.7925556333333335
Cog1	0.11708143529411764
Szrd1	2.564985
Cog7	-0.391159
Tmed5	-0.24154155555555554
Cog5	0.035345666666666664
Max	1.137442375
Rtf1	0.624934
Rtf2	0.0839082
9130011E15Rik	-1.32442
Serpinh1	0.08293143809523806
Gm11273	0.981315
Fto	-0.12509155555555557
Tmed2	-0.126668372
Crtc1	-1.38401
Nosip	0.04453161538461538
Mad2l1	0.9823266666666667
Snrpd3	-0.23968733333333328
Snrpd2	0.661067
Snrpd1	0.711066
Tab1	-0.349305
Letm1	-0.284479225
Scpep1	-0.719828
Cyba	-0.63762925
Ifi47	-0.3543913416666667
Ndrg1	-0.1659092
Mak16	-0.332942
Tap1	-0.46124800000000005
Ubap2	0.20747949999999996
Ppp1r7	0.26429299999999994
Tap2	-0.7624599999999999
H13	-0.16424025000000003
Rpap3	0.00286533
Gga3	0.03140524999999999
Gga2	0.570022
Flii	-0.210913
Lsm6	0.38651075
Ptpn2	-0.20451449888888887
Kyat3	-0.030416268750000003
Zfp622	-1.005893
Mrps2	0.131197
Lama3	-4.683203333333334
Skiv2l2	-0.065326
Slc7a5	-0.0499792
Plcl2	-1.01464
